Org_Name,Repo_Name,Is_Empty,Last_Push,Last_Update,isFork,isArchived,Repo_Size(mb),Record_Count,Collaborator_Count,Protected_Branch_Count,PR_Review_Count,Milestone_Count,Issue_Count,PR_Count,PR_Review_Comment_Count,Commit_Comment_Count,Issue_Comment_Count,Issue_Event_Count,Release_Count,Project_Count,Branch_Count,Tag_Count,Discussion_Count,Has_Wiki,Full_URL,Migration_Issue,Created
gitstua-labs,owasp-top10-demo,false,2023-10-23T05:37:49Z,2023-08-06T09:44:59Z,true,false,0,4,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,true,https://github.com/gitstua-labs/owasp-top10-demo,FALSE,2023-08-06T09:44:59Z
gitstua-labs,package-docker,false,2023-06-27T12:21:26Z,2023-06-27T13:09:08Z,false,false,3,5,3,0,0,0,0,0,0,0,0,0,2,0,1,2,0,true,https://github.com/gitstua-labs/package-docker,FALSE,2023-06-27T12:05:48Z
gitstua-labs,package-npm,false,2023-06-28T05:57:01Z,2023-06-27T09:56:57Z,false,false,0,9,3,0,0,0,0,0,0,0,0,0,6,0,1,9,0,true,https://github.com/gitstua-labs/package-npm,FALSE,2023-06-27T09:51:03Z
gitstua-labs,package-nuget,false,2023-06-28T01:21:23Z,2023-06-27T11:04:17Z,false,false,0,8,3,0,0,0,0,0,0,0,0,0,5,0,1,5,0,true,https://github.com/gitstua-labs/package-nuget,FALSE,2023-06-27T10:57:23Z
gitstua-labs,podinfo,false,2023-02-04T02:31:58Z,2023-02-04T11:40:50Z,true,false,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,https://github.com/gitstua-labs/podinfo,FALSE,2023-02-04T12:07:51Z
gitstua-labs,repo-props-play,false,2023-06-13T07:56:38Z,2023-06-13T07:56:38Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/repo-props-play,FALSE,2023-06-13T07:56:37Z
gitstua-labs,repo-ruleset-play,false,2023-06-19T11:15:34Z,2023-05-29T22:13:51Z,false,false,0,10,3,0,0,0,3,0,0,0,0,4,0,0,1,0,0,true,https://github.com/gitstua-labs/repo-ruleset-play,FALSE,2023-05-29T22:13:51Z
gitstua-labs,repo-rulesets,false,2023-10-08T05:48:03Z,2023-10-08T05:16:05Z,false,false,0,7,3,0,0,0,0,1,0,0,0,3,0,0,1,0,0,true,https://github.com/gitstua-labs/repo-rulesets,FALSE,2023-10-08T05:16:04Z
gitstua-labs,repo-settings-test-actions-logs,false,2023-06-12T06:16:08Z,2023-06-12T06:16:08Z,false,false,0,18,3,0,0,1,5,0,0,0,1,8,0,0,1,0,0,true,https://github.com/gitstua-labs/repo-settings-test-actions-logs,FALSE,2023-06-12T06:16:08Z
gitstua-labs,secret-scanning-demo1,false,2023-10-05T06:51:14Z,2023-10-05T06:49:33Z,false,false,0,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/secret-scanning-demo1,FALSE,2023-10-05T06:49:32Z
gitstua-labs,signoff-commits,false,2023-09-15T00:19:57Z,2023-09-15T00:17:34Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/signoff-commits,FALSE,2023-09-15T00:17:33Z
gitstua-labs,team1stuff-repo1,true,2023-07-11T05:35:02Z,2023-07-11T05:35:02Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,https://github.com/gitstua-labs/team1stuff-repo1,FALSE,2023-07-11T05:35:01Z
gitstua-labs,test-intro-day1,false,2023-07-18T04:49:47Z,2023-07-18T04:32:29Z,false,false,0,12,3,0,2,0,0,1,2,0,0,4,0,0,1,0,0,true,https://github.com/gitstua-labs/Test-intro-day1,FALSE,2023-07-18T04:32:28Z
gitstua-labs,test-repo1,false,2023-02-15T05:04:40Z,2023-02-15T05:04:39Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/test-repo1,FALSE,2023-02-15T05:04:39Z
gitstua-labs,test-with-actions,false,2023-09-17T12:06:59Z,2023-09-17T12:03:15Z,false,false,0,5,3,0,0,0,0,1,0,0,0,1,0,0,2,0,0,true,https://github.com/gitstua-labs/test-with-actions,FALSE,2023-09-17T12:03:15Z
gitstua-labs,the-alpha-service,false,2023-02-04T04:10:17Z,2023-02-04T04:42:55Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/the-alpha-service,FALSE,2023-02-03T06:44:24Z
gitstua-labs,the-bravo-service,false,2023-02-04T04:30:24Z,2023-02-04T04:18:25Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/the-bravo-service,FALSE,2023-02-04T04:18:19Z
gitstua-labs,the-charlie-service,false,2023-11-09T04:39:40Z,2023-02-04T04:19:14Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/the-charlie-service,FALSE,2023-02-04T04:19:09Z
gitstua-labs,the-ruw-store,false,2023-11-09T05:29:18Z,2023-02-04T04:43:43Z,false,false,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/the-ruw-store,FALSE,2023-02-03T03:02:38Z
gitstua-labs,to-be-archived1,false,2023-11-15T05:09:50Z,2023-11-15T05:10:09Z,false,true,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/to-be-archived1,FALSE,2023-11-15T05:09:49Z
gitstua-labs,universe-wip,false,2023-10-27T04:21:58Z,2023-10-27T04:21:57Z,false,false,11,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true,https://github.com/gitstua-labs/universe-wip,FALSE,2023-10-27T04:21:50Z
gitstua-labs,vnet-demo,false,2023-11-02T10:25:48Z,2023-11-02T08:32:54Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/vnet-demo,FALSE,2023-11-02T08:32:11Z
gitstua-labs,vulnerable-express1,false,2023-11-15T08:14:17Z,2023-11-15T06:54:08Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/vulnerable-express1,FALSE,2023-11-15T06:50:03Z
gitstua-labs,webhook-alternative,false,2023-10-12T12:59:37Z,2023-10-12T11:45:11Z,false,false,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/webhook-alternative,FALSE,2023-10-12T11:45:11Z
gitstua-labs,workflow-samples,false,2023-04-11T06:32:59Z,2023-02-04T04:48:00Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/workflow-samples,FALSE,2023-02-04T04:48:00Z
